Sentence-IPA	Sentence Orthography	Sentence ID	Dialogue	Notes	Speaker ID	Stress of target	Focus type	Dialect	Dialogue element	File path
mɑɾjɑmə «jevɾopɑ» ɑsɑt͡sʰ	Մարիամը «Եվրոպա» ասաց	sp01_d1_s3_tV_a	sp01_d1_s3_tV		sp01	final stress	verb focus	EA	answer	data/data-few-issues/EA
vot͡ʃʰ	Ոչ	sp01_d1_s3_tV_i	sp01_d1_s3_tV		sp01	final stress	verb focus	EA	interjection	data/data-few-issues/EA
t͡ʃʰəkɑɾtʰɑt͡sʰ	չկարդաց։	sp01_d1_s3_tV_n	sp01_d1_s3_tV		sp01	final stress	verb focus	EA	negation	data/data-few-issues/EA
mɑɾjɑmə «jevɾopɑ» kɑɾtʰɑt͡sʰ	Մարիամը «Եվրոպա» կարդա՞ց։	sp01_d1_s3_tV_q	sp01_d1_s3_tV		sp01	final stress	verb focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «dɑtelu» ɑsɑt͡sʰ	Մարիամը «դատելու» ասաց։	sp01_d10_s3_tO_a	sp01_d10_s3_tO		sp01	final stress	object focus	EA	answer	data/data-few-issues/EA
mɑɾjɑmə int͡ʃʰ ɑsɑt͡sʰ	Մարիամը ի՞նչ ասաց։	sp01_d10_s3_tO_q_?	sp01_d10_s3_tO	background noise	sp01	final stress	object focus	EA	question	data/data-moderate-issues/noise-mild/EA
mɑɾjɑmə «kiselu» ɑsɑt͡sʰ	Մարիամը «կիսելու» ասաց։	sp01_d100_s3_tS_a	sp01_d100_s3_tS		sp01	final stress	subject focus	EA	answer	data/data-few-issues/EA
ov «kiselu» ɑsɑt͡sʰ	Ո՞վ «կիսելու» ասաց։	sp01_d100_s3_tS_q	sp01_d100_s3_tS		sp01	final stress	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «kʰit͡ʃʰoɾen» ɑsɑt͡sʰ	Մարիամը «քիչորեն» ասաց։	sp01_d101_s3a_tS_a_?	sp01_d101_s3a_tS	background noise	sp01	final stress (adverb)	subject focus	EA	answer	data/data-moderate-issues/noise-mild/EA
ov «kʰit͡ʃʰoɾen» ɑsɑt͡sʰ	Ո՞վ «քիչորեն» ասաց։	sp01_d101_s3a_tS_q_?	sp01_d101_s3a_tS	background noise	sp01	final stress (adverb)	subject focus	EA	question	data/data-moderate-issues/noise-mild/EA
