բացակա	b ɑ t͡sʰ ɑ k ɑ
բացորեն	b ɑ t͡sʰ o ɾ e n
բոպիկը	b o p i k ə
բոպիկի	b o p i k i
բոցորեն	b o t͡sʰ o ɾ e n
բութերը	b u tʰ e ɾ ə
բութերի	b u tʰ e ɾ i
բութորեն	b u tʰ o ɾ e n
բուժելը	b u ʒ e l ə
բուժելու	b u ʒ e l u
բուժումդ	b u ʒ u m ə t
բուժումի	b u ʒ u m i
բունորեն	b u n o ɾ e n
գագաթը	ɡ ɑ ɡ ɑ tʰ ə
գագաթի	ɡ ɑ ɡ ɑ tʰ i
գիծերը	ɡ i t͡s e ɾ ə
գիծերի	ɡ i t͡s e ɾ i
գիշերը	ɡ i ʃ e ɾ ə
դատելը	d ɑ t e l ə
դատելու	d ɑ t e l u
դիտելը	d i t e l ə
դիտելու	d i t e l u
Եվրոպա	j e v ɾ o p ɑ
զատելը	z ɑ t e l ə
զատելու	z ɑ t e l u
զատիկդ	z ɑ t i k ə t
զատիկի	z ɑ t i k i
զատորեն	z ɑ t o ɾ e n
զուտորեն	z u t o ɾ e n
թաթիկը	tʰ ɑ tʰ i k ə
թաթիկի	tʰ ɑ tʰ i k i
թացորեն	tʰ ɑ t͡sʰ o ɾ e n
թափելը	tʰ ɑ pʰ e l ə
թափելու	tʰ ɑ pʰ e l u
թուրքերը	tʰ u ɾ kʰ e ɾ ə
թուրքերի	tʰ u ɾ kʰ e ɾ i
թուքերը	tʰ u kʰ e ɾ ə
թուքերի	tʰ u kʰ e ɾ i
թոքերի	tʰ o kʰ e ɾ i
իններորդ	i n n e ɾ o ɾ tʰ
խանութդ	χ ɑ n u tʰ ə t
խանութի	χ ɑ n u tʰ i
խանութս	χ ɑ n u tʰ ə s
խաչելու	χ ɑ t͡ʃʰ e l u
խիտորեն	χ i t o ɾ e n
կապելը	k ɑ p e l ə
կապելու	k ɑ p e l u
կապիկի	k ɑ p i k i
կապիկիս	k ɑ p i k i s
կապիկս	k ɑ p i k ə s
կատակի	k ɑ t ɑ k i
կատակս	k ɑ t ɑ k ə s
կարապի	k ɑ ɾ ɑ p i
կիսելը	k i s e l ə
կիսելու	k i s e l u
կոկիկը	k o k i k ə
կոկիկի	k o k i k i
կոշիկը	k o ʃ i k i
կոշիկս	k o ʃ i k ə s
կովիկի	k o v i k i
կուտերը	k u t e ɾ ə
կուտերի	k u t e ɾ i
կուտերու	k u t e ɾ u
հասակի	h ɑ s ɑ k i
հասակս	h ɑ s ɑ k ə s
հավատա	h ɑ v ɑ t ɑ
հավատաս	h ɑ v ɑ t ɑ s
հատակի	h ɑ t ɑ k i
հատակիդ	h ɑ t ɑ k i t
հատակին	h ɑ t ɑ k i n
հատիկդ	h ɑ t i k ə t
հատիկի	h ɑ t i k i
