Orthography-WA	Transcription-WA
բադերու	p ɑ t e ɾ u
բաթերը	p ɑ t e ɾ ə
բաթերու	p ɑ t e ɾ u
բացակայ	p ɑ t͡s ɑ ɡ ɑ
բացօրէն	p ɑ t͡s o ɾ e n
բոպիկը	p o b i ɡ ə
բոպիկի	p o b i ɡ i
բութերը	p u t e ɾ ə
բութերու	p u t e ɾ u
բութօրէն	p u t o ɾ e n
բուժելը	p u ʒ e l ə
բուժելու	p u ʒ e l u
բուժումդ	p u ʒ u m ə t
բուժումի	p u ʒ u m i
բունօրէն	p u n o ɾ e n
գագաթը	k ɑ k ɑ t ə
գագաթի	k ɑ k ɑ t i
գիծելու	k i d͡z e l u
գիծերը	k i d͡z e ɾ ə
գիծերու	k i d͡z e ɾ u
գիշերը	k i ʃ e ɾ ə
դատելը	t ɑ d e l ə
դատելու	t ɑ d e l u
դիտելը	t i d e l ə
դիտելու	t i d e l u
դուռերդ	t u ɾ e ɾ ə t
Եւրոպա	j e v ɾ o b ɑ
զատելը	z ɑ d e l ə
զատելու	z ɑ d e l u
զատերը	z ɑ d e ɾ ə
զատիկդ	z ɑ d i ɡ ə t
զատիկի	z ɑ d i ɡ i
զատօրէն	z ɑ d o ɾ e n
զուտօրէն	z u d o ɾ e n
թաթիկը	t ɑ t i ɡ ə
թաթիկի	t ɑ t i ɡ i
թացօրէն	t ɑ t͡s o ɾ e n
թափելը	t ɑ p e l ə
թափելու	t ɑ p e l u
թուրքերու	t u ɾ k e ɾ u
թուքերը	t u k e ɾ ə
թուքերու	t u k e ɾ u
իններորդ	i n n e ɾ o ɾ t
իններորդը	i n n e ɾ o ɾ t ə
խանութդ	χ ɑ n u t ə t
խանութը	χ ɑ n u t ə
խանութի	χ ɑ n u t i
խանութս	χ ɑ n u t ə s
խաչելու	χ ɑ t͡ʃ e l u
խիտօրէն	χ i d o ɾ e n
կապելը	ɡ ɑ b e l ə
կապելու	ɡ ɑ b e l u
կապիկի	ɡ ɑ b i ɡ i
կապիկիս	ɡ ɑ b i ɡ i s
կապիկս	ɡ ɑ b i ɡ ə s
կատակի	ɡ ɑ d ɑ ɡ i
կատակս	ɡ ɑ d ɑ ɡ ə s
կիսելը	ɡ i s e l ə
կիսելու	ɡ i s e l u
կոկիկը	ɡ o ɡ i ɡ ə
կոկիկի	ɡ o ɡ i ɡ i
կուտերը	ɡ u d e ɾ ə
կուտերու	ɡ u d e ɾ u
կօշիկը	ɡ o ʃ i ɡ ə
կօշիկի	ɡ o ʃ i ɡ i
կօշիկս	ɡ o ʃ i ɡ ə s
հասակի	h ɑ s ɑ ɡ i
հասակս	h ɑ s ɑ ɡ ə s
հասիկի	h ɑ s i ɡ i
հատակի	h ɑ d ɑ ɡ i
հատիկդ	h ɑ d i ɡ ə t
հատիկը	h ɑ d i ɡ ə
հատիկի	h ɑ d i ɡ i
հատիկիդ	h ɑ d i ɡ i t
հաւատայ	h ɑ v ɑ d ɑ
հինօրէն	h i n o ɾ e n
հոտոտայ	h o d o d ɑ
ճակատդ	d͡ʒ ɑ ɡ ɑ d ə t
ճակատի	d͡ʒ ɑ ɡ ɑ d i
ճաշակդ	d͡ʒ ɑ ʃ ɑ ɡ ə t
ճաշակի	d͡ʒ ɑ ʃ ɑ ɡ i
մանուկդ	m ɑ n u ɡ ə t
մանուկը	m ɑ n u ɡ ə
մանուկի	m ɑ n u ɡ i
մատիկդ	m ɑ d i ɡ ə t
մատիտդ	m ɑ d i d ə t
մատիտը	m ɑ d i d ə
մատիտի	m ɑ d i d i
մութօրէն	m u t o ɾ e n
յատուկ	h ɑ d u ɡ
յատուկը	h ɑ d u ɡ ə
յատուկի	h ɑ d u ɡ i
Յիսուսը	h i s u s ə
Յիսուսի	h i s u s i
նախօրէն	n ɑ χ o ɾ e n
շաբաթ	ʃ ɑ p ɑ t
շաբաթը	ʃ ɑ p ɑ t ə
շաբաթի	ʃ ɑ p ɑ t i
շապիկի	ʃ ɑ b i ɡ i
շապիկս	ʃ ɑ b i ɡ ə s
շատօրէն	ʃ ɑ d o ɾ e n
շիշերը	ʃ i ʃ e ɾ ə
շիշերու	ʃ i ʃ e ɾ u
շիտակը	ʃ i d ɑ ɡ ə
շուտօրէն	ʃ u d o ɾ e n
շուքերը	ʃ u k e ɾ ə
շուքերու	ʃ u k e ɾ u
ութերորդ	u t e ɾ o ɾ t
ութերորդə	u t e ɾ o ɾ t ə
պաղօրէն	b ɑ ʁ o ɾ e n
պատիժը	b ɑ d i ʒ ə
պատիժի	b ɑ d i ʒ i
պատիժս	b ɑ d i ʒ ə s
պարագայ	b ɑ ɾ ɑ k ɑ
պարապի	b ɑ ɾ ɑ b i
պութերը	b u t e ɾ ə
ջութակի	t͡ʃ u t ɑ ɡ i
ջութակս	t͡ʃ u t ɑ ɡ ə s
սուտերը	s u d e ɾ ə
սուտերու	s u d e ɾ u
սուտօրէն	s u d o ɾ e n
տաբատ	d ɑ p ɑ d
տաբատդ	d ɑ p ɑ d ə t
տաբատի	d ɑ p ɑ d i
տանիքի	d ɑ n i k i
տասերորդ	d ɑ s e ɾ o ɾ t
տափերու	d ɑ p e ɾ u
տաքօրէն	d ɑ k o ɾ e n
տեսական	d e s ɑ ɡ ɑ n
տեսակը	d e s ɑ ɡ ə
տեսակի	d e s ɑ ɡ i
տիկինը	d i ɡ i n ə
տիկինի	d i ɡ i n i
տուփերը	d u p e ɾ ə
տուփերու	d u p e ɾ u
փափագդ	p ɑ p ɑ k ə t
փափագի	p ɑ p ɑ k i
փափազդ	p ɑ p ɑ z ə t
փափազի	p ɑ p ɑ z i
փափակի	p ɑ p ɑ ɡ i
փափուկը	p ɑ p u ɡ ə
փափուկի	p ɑ p u ɡ i
փափուկս	p ɑ p u ɡ ə s
քակելը	k ɑ ɡ e l ə
քակելու	k ɑ ɡ e l u
քաճօրէն	k ɑ d͡ʒ o ɾ e n
քաշելը	k ɑ ʃ e l ə
քաշելու	k ɑ ʃ e l u
քաջօրէն	k ɑ t͡ʃ o ɾ e n
քատակս	k ɑ d ɑ ɡ ə s
քիթերը	k i t e ɾ ə
քիթերու	k i t e ɾ u
քիչերը	k i t͡ʃ e ɾ ə
քիչերու	k i t͡ʃ e ɾ u
քիչօրէն	k i t͡ʃ o ɾ e n
Մարիամը	m ɑ ɾ j ɑ m ə
կարդա՞ց	ɡ ɑ ɾ t ɑ t͡s
ըսաւ	ə s ɑ v
ի՞նչ	i n t͡ʃ
Ո՞վ	o v
